method,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,feature_extract_time,train_time,test_time,total_time
color_histogram,0.657143,0.657716,0.657143,0.647602,0.647602,32.878601,0.170880,0.000000,33.049481
hog,0.680952,0.714059,0.680952,0.660885,0.660885,43.713705,455.877709,0.073518,499.664932
sift_bovw_k800,0.612440,0.588531,0.612151,0.584585,0.584830,1727.919531,62.644586,0.002199,1790.566315
